"{'t_min': 0, 't_max': 0.5, 't_step': 0.001, 't_top': 4, 'N': 100, 'n_steps': 100000, 'n_burnin': 60000, 'n_analyze': 5000, 'B': 0.0, 'flip_perc': 0.1, 'dir_out': 'data', 'plots': False, 'print_inp': False, 'use_cpp': True, 'date_output': False, 'file_prefix': '', 'multiprocess': True, 'skip_prog_print': False, 'use_gaussian': False, 'B_top': 1}"
N,n_steps,n_analyze,flip_perc
100,100000,5000,0.1

Temp,E_mean,E_std,M_mean,M_std
0.0,-1.302237727757,0.025858276236502782,-0.19012382494855415,0.0760382477501451
0.001,-1.3311226452129035,0.03123174515227242,0.5353281456283341,0.06969861120767544
0.002,-1.3429332554018434,0.026097149580610365,0.5771303862351183,0.028082728374557282
0.003,-1.32915450175015,0.024327969130621865,0.504564152863961,0.06069166549167946
0.004,-1.367372710291303,0.034708672200882425,0.620652970837984,0.06657139124850014
0.005,-1.3639004436534128,0.024449394779903075,0.6061340668697933,0.04555098947997374
0.006,-1.3647834844030269,0.03290020260959247,0.6145842766542391,0.05375276763479291
0.007,-1.4042460753169388,0.026806363262410822,0.6823345871657509,0.03219829373448137
0.008,-1.389272984468262,0.025757602313203794,0.6678048806277292,0.0270674247895316
0.009000000000000001,-1.3812195350227654,0.03196378991668895,0.6595909578319931,0.04217549384809383
0.01,-1.3885699385379549,0.028380339341459396,0.6722209239678517,0.027997363826236132
0.011,-1.3902365375600068,0.02466606107333279,0.6533897580516699,0.02138863505756603
0.012,-1.4208752542143943,0.025120837510432415,0.7113255047636,0.024602850221233864
0.013000000000000001,-1.404390997375386,0.025761128891694386,0.6822379282127025,0.024270943637058392
0.014,-1.420135601684317,0.02715122998199067,0.7054193238778982,0.025148005346843288
0.015,-1.423030560053356,0.025404977176701666,0.7097601516529617,0.02063383985017189
0.016,-1.4361092993726157,0.025275516791634405,0.7110770558280739,0.024758281251392605
0.017,-1.4237428424262504,0.025365820110593726,0.702268293307385,0.023230955220091467
0.018000000000000002,-1.4177454876694637,0.030758699476751344,0.68603160626222,0.03875959229484863
0.019,-1.4379757221137601,0.02954360323415627,0.7245979595360791,0.028810483643563544
0.02,-1.4249687339573247,0.025873406429726516,0.6908971797611552,0.03475862267845516
0.021,-1.437832336541199,0.027276419325496862,0.7183594315928158,0.023395014925167625
0.022,-1.4376527531715984,0.025864257392633733,0.7151549910755008,0.028518885982818133
0.023,-1.4515384976256727,0.030635654425839345,0.7314449687866383,0.0276846523958405
0.024,-1.4643265848089204,0.023752300326179993,0.7486113221270009,0.0182265515729754
0.025,-1.447160673060401,0.02606637155657622,0.730160472011013,0.021681947763343812
0.026000000000000002,-1.464412850245258,0.02545061750468465,0.7425903177041964,0.02172977450143803
0.027,-1.4561950541134,0.024164776125319212,0.7349134622680876,0.015860389523781236
0.028,-1.4764893975680435,0.026952353417494787,0.7574121625835024,0.020209737394253927
0.029,-1.4700243092222343,0.024962407683928337,0.7444518106559391,0.020457977784641833
0.03,-1.4775285896097905,0.029882369977083222,0.7533121426526631,0.027041283476513234
0.031,-1.4831649654506325,0.023660672718311574,0.7596877778403924,0.019536765812962688
0.032,-1.4790124707661716,0.02434562343376748,0.7553494298284019,0.016414574909457257
0.033,-1.4791460990381136,0.029266184545667803,0.757369354370237,0.02431368438293146
0.034,-1.4887870910001244,0.023556357478170028,0.7648627328190667,0.016852395453230144
0.035,-1.4696404271947072,0.024332084552128628,0.7390238044261456,0.02174630302585305
0.036000000000000004,-1.4931095681635946,0.028811665596228525,0.764128025352156,0.020776928192442926
0.037,-1.5018229702754744,0.028583508934401043,0.7744047605745743,0.0204379641578258
0.038,-1.5028325118024628,0.025402643169879443,0.7719950795435958,0.017497403973447383
0.039,-1.498655849944403,0.025187489348854755,0.768876775821988,0.01832470422139867
0.04,-1.502504712821341,0.023437147397737813,0.7729118623168832,0.016627876301532573
0.041,-1.5156941094096124,0.02789232823283146,0.7818034406208139,0.018617999627325615
0.042,-1.5196769460484276,0.024905280051139858,0.783744629263091,0.01671311775154342
0.043000000000000003,-1.5181408895447532,0.022767626338691737,0.7830752550327532,0.015174000327364708
0.044,-1.5140824984683827,0.024721819509220505,0.77944868978297,0.019132502201044056
0.045,-1.511987082289085,0.02275375882450992,0.7760050811989828,0.01582313618410011
0.046,-1.5203361134692224,0.026738188493243917,0.7815695144005074,0.01933743583964844
0.047,-1.5162553353699761,0.026113287642224987,0.7766405683346905,0.0214182833124014
0.048,-1.5155232300589527,0.024070568572549706,0.7765996005683452,0.016484420354559184
0.049,-1.5304968841411182,0.023678024677820066,0.7871122225853747,0.014922927251979369
0.05,-1.5332571553048862,0.025840813705749817,0.7915107820911106,0.01558104368632847
0.051000000000000004,-1.540979387069087,0.022652617824022576,0.7950027606968499,0.014179739158948544
0.052000000000000005,-1.5382136789220027,0.027275534148658603,0.7914343270856777,0.018436190833678045
0.053,-1.5395421272135896,0.024505167245607945,0.7949887977812047,0.015030226654225537
